O que representa a -Porta- no metodo de resover equaçoes ?,O sinal de igual ( = ).
Quais são as duas equipas mencionadas na explicação?,A equipa do X e a equipa sem X.
Em que lado da porta devem ficar as equipas do X para resolver a equação?,Do lado esquerdo.
Em que lado da porta devem ficar as equipas sem X (os números sozinhos)?,Do lado direito.
O que deve fazer um termo que está no sítio errado?",Deve passar pela porta para ir ter com a sua equipa.
O que é obrigatório pagar ao passar pela porta?,Uma multa.
Em que consiste a - Multa ?,Em mudar o sinal do termo.
Onde se localiza a porta no campo da equação?,No meio do campo (entre os dois lados da equação).
A equipa do  Não X  é o mesmo que a equipa _____.",Sem X.
Se um termo da equipa do X estiver do lado direito  está no sítio certo?,Não, o sítio certo da equipa do X é o lado esquerdo.
Se um número sem X estiver do lado esquerdo o que se tem de fazer?,Passar pela porta para o lado direito.
O sinal de igual (=) é comparado a uma _____.,Porta.
As equipas do X ficam do lado _____.,Esquerdo.
As equipas do não X ficam do lado _____.,Direito.
Para ir ter com a sua equipa no outro lado, é preciso pagar uma _____.,Multa.
A multa de passar a porta é mudar de _____.,Sinal.
Se um termo com sinal + passar pela porta fica com que sinal?,Sinal -.
Se um termo com sinal - passar pela porta fica com que sinal fica,Sinal +.
Quem é que tem de pagar a multa na equação?,Aqueles que estão no sítio errado e precisam de passar a porta.
O objetivo de passar pela porta é os termos irem ter com a sua _____.,Equipa.
Um termo que já está do lado correto precisa de mudar de sinal?,Não, porque não precisa de passar pela porta.
O que representa o  Campo nesta explicação de equações?,A própria equação onde as equipas estão organizadas.
Como se chama a equipa que deve ocupar o lado direito do sinal de igual?,Equipa sem X (ou equipa do não X).
Como se chama a equipa que deve ocupar o lado esquerdo do sinal de igual?,Equipa do X.
Se o termo   +3   passar para o lado direito como deve ser escrito?,-3.
Se o termo  -2x  passar para o lado esquerdo como deve ser escrito?, +2x.
O sinal de igual separa o campo em que dois lados?,Lado esquerdo e lado direito.
Qual é a regra principal quando um termo atravessa o sinal de igual?,Mudar o seu sinal (pagar a multa).
Termo: Multa,Definição: Mudança de sinal necessária para um termo mudar de lado na equação.
o que significa a Porta ?,Definição: Metáfora para o sinal de igual (=) que separa as equipas da equação.
Por que razão as equipas se movem no campo?,Para se agruparem com os seus pares (com x ou sem x) nos lados corretos.
A equipa do x deve estar à _____ do sinal =.,Esquerda.
A equipa sem  X  deve estar à _____ do sinal =.,Direita.
Passar pela porta é o mesmo que mudar de _____ na equação.,Membro (ou lado).
O que acontece ao sinal de um termo que muda da esquerda para a direita?,O sinal inverte-se (muda).
O que acontece ao sinal de um termo que muda da direita para a esquerda?,O sinal inverte-se (muda).
Onde se encontram todos os elementos?,No campo.
Se um termo +X já estiver do lado esquerdo ira pagar multa?, Não, pois já está no sítio correto da sua equipa.
Se um número -5 já estiver do lado direito ira  pagar multa?,Não, pois já está no sítio correto da sua equipa.
Quantas equipas existem no total nesta analogia?,Duas.
A expressão  Equipa do não X refere-se a que elementos?,Aos números que não têm a letra X.
A expressão  equipa do X refere-se a que elementos?, Aos termos que contêm a incógnita X.
O sinal de igual divide a equação como se fosse uma _____.,Porta.
Para resolver a equação organizamos o X à _____ e o resto à _____.,Esquerda / Direita.
Mudar de sinal é a regra para quem atravessa a _____.,Porta (sinal de igual).
Se o termo X está à direita devera ir para a _____.,Esquerda.
Se o número 10 está à esquerda devera ir para a _____.,Direita.
O que significa pagar multa   na prática deste metodo?,Transformar um valor positivo em negativo ou vice-versa.
A porta está no _____ do campo.,Meio.
Como se chama o método explicado no texto?,Método de passar pela porta.
Os termos que não se movem mantêm o seu sinal?,Sim, mantêm o sinal original.
Quem decide se um termo tem de passar a porta?,A sua posição inicial em relação ao do da sua equipa.
Um termo positivo torna-se _____ ao atravessar o sinal de igual.,Negativo.
Um termo negativo torna-se _____ ao atravessar o sinal de igual.,Positivo.
O lado esquerdo pertence a que equipa?",À equipa do X.
